Varför?	Why?
Inga av de här äggen är färska.	None of these eggs are fresh.
Det här företaget är listat på Parisbörsen.	This company is listed on the Paris stock exchange.
Han vet hur man flyger en helikopter.	He knows how to fly a helicopter.
Det regnar idag. Var är mitt paraply?	It's raining today. Where is my umbrella?
Nixon var på väg att bli president.	Nixon was about to become president.
Reglerna kräver att vi alla är närvarande.	The rules require us all to be present.
Han tog med henne till vårt ställe.	He brought her to our place.
Du kan inte få oss att sluta.	You can't make us stop.
Var det du som gjorde det här?	Did you do this?
Jag kommer att gå och fråga Tom.	I'll go ask Tom.
Tom har redan druckit tre koppar kaffe.	Tom has already drunk three cups of coffee.
Vad är det som är så kul?	What's so funny?
Vad är det som är så roligt?	What's so funny?
Vi blir inte yngre än så här.	We're not getting any younger.
Vad är det för fel på honom?	What is wrong with him?
Jag är glad att vi är överens.	I'm glad we agree.
Endast då förstod jag vad han menade.	Only then did I realize what he meant.
Ingen visste att du var i Tyskland.	Nobody knew that you were in Germany.
De vill inte att du ska veta.	They don't want you to know.
Du borde inte titta ner på honom.	You shouldn't look down on him.
Hon sa att hon hade en förkylning.	She said she had a cold.
Vi är bekanta med den här sången.	We are familiar with this song.
Vi sover vanligtvis i det här rummet.	We usually sleep in this room.
Detta är en kamera tillverkad i Japan.	This is a camera made in Japan.
Kan jag få ett glas vatten, tack.	Bring me a glass of water, please.
Jag kan inte gå förrän han kommer.	I can't go until he comes.
Vad tycker du om den här tröjan?	What do you think of this sweater?
Vi visste inte vad vi skulle göra.	We didn't know what to do.
Tom tycker att det är tillräckligt bra.	Tom thinks that's good enough.
Peter är inte alls lik hans pappa.	Peter isn't anything like his father.
Han sparkade honom medan han låg ner.	He kicked him while he was down.
Det var en tyst natt i vintertid.	It was a silent night in winter.
Alla studenter i klassen gillar herr Smith.	All the students in the class like Mr. Smith.
Det är tystnad som är dyrbart nu.	It is silence that is valuable now.
Kan du släppa av mig vid biblioteket?	Could you drop me off at the library?
Min bror är lika lång som jag.	My brother is as tall as me.
Hon var tvungen att ge upp planen.	She was obliged to give up the plan.
Var god, kryssa i den lämpliga rutan.	Please make a cross in the appropriate box.
Hon går ofta och shoppar på helger.	She will often go shopping on holidays.
Tom visste att jag var på väg.	Tom knew I was coming.
Jag önskar att jag hade en bil.	I wish I had a car.
Jag tror att Tom ljög för oss.	I think Tom lied to us.
Han visade mig massor av vackra bilder.	He showed me a lot of beautiful photos.
Vi flög från London till New York.	We flew from London to New York.
Jag skulle vilja gå och sova nu.	I would like to go to sleep now.
Ja! Jag vann två gånger i rad.	Yes! I won twice in a row!
Hur länge ska du vara i Japan?	How long are you going to stay in Japan?
Oroa dig inte. Han förstår inte tyska.	Don't worry. He doesn't understand German.
Oroa dig inte. Han kan inte tyska.	Don't worry. He doesn't understand German.
Säg till Tom att jag är färdig.	Tell Tom I'm ready.
Jag gillar inte att bli driven med.	I don't like being made a fool of.
Du måste inte bestämma dig just nu.	You don't have to decide right now.
Vad gillar du att göra på söndagar?	What do you like to do on Sundays?
Jag kan inte få kontakt med Tom.	I can't contact Tom.
Jag kan inte göra det i dag.	I can't do it today.
Det kommer antagligen att snöa i morgon.	It will probably snow tomorrow.
Jag vill inte träffa någon i dag.	I don't want to see anybody today.
Jag visste att du skulle bli arg.	I knew you'd be mad.
Jag vet att det här är svårt.	I know this is hard.
Jag kanske kommer att prata med Tom.	I might talk to Tom.
Jag ringer efter en taxi åt dig.	I'll call you a cab.
Säg till Tom att jag älskar honom.	Tell Tom I love him.
Berätta för Tom att jag älskar honom.	Tell Tom I love him.
Vi gör mjölk till ost och smör.	We make milk into cheese and butter.
Tiderna förändras, och vi förändras med de.	Times change, and we change in them.
Vad är den turkiska motsvarigheten till meditation?	What is the Turkish equivalent of meditation?
Jag har redan sagt det till dig.	I already told you.
Hur lång tid har du på dig?	How long do you have?
Hur lång tid har vi på oss?	How long have we got?
Jag kan inte sjunga en ren ton.	I can't carry a tune.
Det är nittionio komma nio procent effektivt.	It's 99.9% effective.
Jag skulle inte kunna bry mig mindre.	I couldn't care less.
Jag har inget emot att hjälpa till.	I don't mind helping.
Jag visste att du skulle gilla det.	I knew you'd like it.
Jag kommer att vara på mitt kontor.	I'll be in my office.
Jag är glad att du är här.	I'm glad you're here.
Jag är så gott som aldrig hemma.	I'm hardly ever home.
Jag är här för att hjälpa dig.	I'm here to help you.
Jag har tänkt på det hela dagen.	I've been thinking about it the entire day.
Säg åt Mary att jag älskar henne.	Tell Mary I love her.
Hur kan ni inte tycka om honom?	How can you not like him?
Det är onormalt att äta så mycket.	It is abnormal to eat so much.
Vad har du på dig för kläder?	What are you wearing?
Här är din hund. Var är min?	Here is your dog. Where is mine?
Tvinga mig inte att göra det här.	Don't make me do this.
Amy, du borde gifta dig med honom.	Amy, you should marry him!
Hur fick du tag på de där?	How did you get those?
Jag trodde att vi var bästa vänner.	I thought we were best friends.
Ingen bryr sig om vad du tycker.	Nobody cares what you think.
Det var söndag i går, inte lördag.	Yesterday was Sunday, not Saturday.
Äter du kött eller är du vegetarian?	Do you eat meat or are you a vegetarian?
Äter ni kött eller är ni vegetarianer?	Do you eat meat or are you a vegetarian?
Jag visste att jag inte var galen.	I knew I wasn't crazy.
Jag tror att Mary tycker om mig.	I think Mary likes me.
Jag trodde att du skulle hålla med.	I thought you'd agree.
Jag har bott sex månader i Kina.	I've lived in China for six months.
Låt mig ta hand om Tom, okej?	Let me handle Tom, OK?
Tom skulle kunna vara var som helst.	Tom could be anywhere.
Det verkar som att han är trött.	He seems tired.
Vi måste prata med dig om Tom.	We need to talk to you about Tom.
Du är smartare än vad jag är.	You're smarter than I am.
Vad är det Tom gömmer sig för?	What's Tom hiding for?
Jag kan inte göra det där heller.	I can't do that either.
Jag antar att Tom inte är hemma.	I guess Tom isn't home.
Jag hoppas att det inte är sant.	I hope that's not true.
Jag trodde att du tyckte om mig.	I thought you liked me.
Tom kommer inte överens med sina grannar.	Tom doesn't get along with his neighbors.
Han är stolt över att vara läkare.	He is proud of being a doctor.
Vi skulle vilja ha en flaska rosé.	We'd like a bottle of rosé.
Jag vill inte översätta den här meningen.	I don't want to translate this sentence.
Du stötte på honom tidigare, eller hur?	You ran into him earlier, didn't you?
Jag ångrar att jag inte åkte dit.	I regret that I didn't go there.
Skulle du vilja ha ett glas vatten?	Would you like to have a glass of water?
Kriminalitet lönar sig inte på lång sikt.	Crime doesn't pay in the long run.
Jag var försenad på grund av trafiken.	I was late because of the traffic.
Jag är ekonomiskt oberoende av mina föräldrar.	I am economically independent of my parents.
Titta på huset med det röda taket.	Look at the house with the red roof.
Jag vet att det inte är lätt.	I know it's not easy.
Jag är förvånad att han accepterade erbjudandet.	I'm surprised that he accepted the offer.
Du måste förbereda dig för det värsta!	You must prepare yourself for the worst.
Vad är det för fel med det?	What's wrong with that?
Vad var det du heter nu igen?	What's your name again?
Var fick du tag på den där?	Where did you get that?
Föredrar du en manlig eller kvinnlig doktor?	Do you prefer a male or female doctor?
Av någon anledning fungerade inte mikrofonen tidigare.	For some reason the microphone didn't work earlier.
Mannen erkände slutligen vad han hade gjort.	The man finally confessed what he had done.
Jag observerade att hans händer var ostadiga.	I observed that his hands were unsteady.
Om det blir några svårigheter, ring mig!	If there are difficulties give me a call!
Han satte in en annons i tidningen.	He put an announcement in the newspaper.
Han krävde att hans lön skulle höjas.	He demanded that his salary be increased.
Det kalla vädret fortsatte i tre veckor.	The cold weather continued for three weeks.
Han sökte i sin väska efter bilnyckeln.	He searched his bag for his car key.
Jag spelar tennis en timme om dagen.	I play tennis an hour a day.
”Är du svensk?” ”Nej, jag är schweizisk.”	"""Are you Swedish?"" ""No, I'm Swiss."""
Jag ska lära dig att spela schack.	I will teach you to play chess.
Det är dags att gå till skolan.	It's time to go to school.
Jag kan bara tala för mig själv.	I can only speak for myself.
Skrev du något i din dagbok idag?	Did you write anything in your diary today?
Det här är ett mycket märkligt brev.	This is a very strange letter.
Hur tror du att jag känner mig?	How do you think I feel?
Jag kan inte knäcka den här koden.	I can't break this code.
Jag kan inte göra det just nu.	I can't do it right now.
Jag kan inte göra det här längre.	I can't do this anymore.
Jag kan inte låta dig göra det.	I can't let you do that.
Jag tycker inte om det här stället.	I don't like this place.
Han reflekterade över hur snabbt tiden går.	He reflected on how quickly time passes.
Vi hinner inte i tid till mötet.	We won't be in time for the meeting.
Jag kan inte tänka mig något annat.	I can't think otherwise.
Det är en timmes promenad till stationen.	It's an hour's walk to the station.
Det du fick lära dig är fel.	What you were taught is wrong.
Det ni fick lära er är fel.	What you were taught is wrong.
Jag trodde att jag såg ett spöke.	I thought I saw a ghost.
Jag trodde att jag var i tid.	I thought I was on time.
Jag trodde att det var ett skämt.	I thought it was a joke.
Jag trodde att du tyckte om Tom.	I thought you liked Tom.
Jag trodde att du skulle gilla det.	I thought you'd like it.
Jag skulle hjälpa dig om jag kunde.	I'd help you if I could.
Jag vill inte gå till jobbet idag.	I don't want to go to work today.
Han har en bror och två systrar.	He has a brother and two sisters.
De är nöjda med det nya huset.	They are satisfied with the new house.
Tom hade ingen anledning att vara arg.	Tom had no reason to be angry.
Den här produkten är tillverkad i Italien.	This product is made in Italy.
Ingen medicin kan bota den här sjukdomen.	No medicine can cure this disease.
Vad associerar du den här låten med?	What do you associate this song with?
Dessa är betygsatta på en hundragradig skala.	These are graded on a hundred-point scale.
Jag såg bilen köra på en man.	I saw the car hit a man.
Tom tycker inte om den här färgen.	Tom does not like this color.
Får den här lådan plats i skåpbilen?	Is there place for this box inside the van?
Vi döpte min son efter min farfar.	We named my son after my grandfather.
Vi döpte min son efter min morfar.	We named my son after my grandfather.
Jag tvivlar på att Tom är glad.	I doubt that Tom is happy.
Jag tvivlar på att Tom är lycklig.	I doubt that Tom is happy.
Kontrasten mellan himlen och berget är slående.	The contrast between the sky and the mountain is striking.
Tom har aldrig sett Mary så arg.	Tom has never seen Mary so angry.
Mary har all anledning att vara nöjd.	Mary had every reason to be satisfied.
Tom undrade varför Mary var så sen.	Tom wondered why Mary was so late.
Jag hittade en fin lägenhet åt honom.	I found him a nice apartment.
Jag är van vid att arbeta hårt.	I am accustomed to working hard.
Tom och Mary har en mack ihop.	Tom and Mary have a gas station together.
Det är oartigt att peka på folk.	It is rude to point at people.
Han sprang för att komma i tid.	He ran, so as to arrive on time.
Toms föräldrar bor i en gammal husvagn.	Tom's parents live in an old trailer.
Han kopplade på husvagnen på sin bil.	He attached the trailer to his car.
Vi får inte många besökare här nere.	We don't get many visitors down here.
Tom borde inte ha ätit så mycket.	Tom shouldn't have eaten so much.
Hur dags går nästa tåg till Tokyo?	What time does the next train leave for Tokyo?
Tom försvann utan att lämna ett spår.	Tom disappeared without leaving a trace.
Det finns nästan inget syre i rummet.	There is almost no oxygen in the room.
Du får prata hur mycket du vill.	You may talk as much as you like.
Tom kommer inte att döda någon annan.	Tom won't be killing anybody else.
Jag skulle vilja ha något att dricka.	I would like something to drink.
Den här kameran är tillverkad i Tyskland.	This camera was made in Germany.
Det här är en väldigt tidsödande uppgift.	This is a very time-consuming task.
Jag har bara sett det en gång.	I've only seen it once.
Jag var tvungen att överge min plan.	I had to give up my plan.
Jag var så lycklig på den tiden.	I was so happy back then.
Jag har bott här hela mitt liv.	I've lived here my entire life.
Berätta för Tom vad du vill göra.	Tell Tom what you want to do.
Den här romanen är översatt från engelska.	This novel was translated from English.
Vad gjorde du med den här boken?	What did you do with that book?
Vad gjorde du av den där boken?	What did you do with that book?
Jag önskar att jag vore ung igen.	I wish I was young again.
Han inser inte att han är tondöv.	He doesn't realise that he's tone deaf.
Kärnvapen är ett hot mot hela mänskligheten.	Nuclear weapons are a threat to all humanity.
Hon gråter alltid när han är full.	She always cries when he is drunk.
Han gråter alltid när han är full.	He always cries when he is drunk.
Vad fattas dig? Du ser blek ut.	What's the matter with you? You look pale.
Hon hade på sig en svart hatt.	She was wearing a black hat.
Det är tydligt att han är hemma.	It is clear that he is at home.
Kvinnan är rik, men mannen är fattig.	The woman is rich, but the man is poor.
Det besegrade laget lämnade så sakta planen.	The defeated team slowly left the field.
Varför är ni på det här skeppet?	Why are you on this ship?
Jag såg en gammal film på tv.	I watched an old movie on TV.
Är det något fel på dina ögon?	Is something wrong with your eyes?
Ett slukhål har bildats mitt i motorvägen.	A sinkhole has appeared in the middle of the highway.
Hur kan jag lösa det här problemet?	How can I solve this problem?
Tom verkar inte komma åt sin data.	Tom can't seem to access his data.
Jag vill ha tillbaka mina tjugo dollar.	I want my 20 dollars back.
Jag läste ut boken i går kväll.	I finished reading the book last night.
Kan du kolla om telefonen är trasig?	Can you check if the phone is out of order?
Det här är brevet från min vän.	This is the letter from my friend.
Seansdeltagare försöker få kontakt med de döda.	Participants in a seance try to contact the dead.
Adressen på det här paketet är fel.	The address on this parcel is wrong.
Nej, det här pappret är inte vitt.	No, this paper isn't white.
Kan du vara snäll och låsa dörren?	Would you please lock the door?
Kan ni vara snälla och låsa dörren?	Would you please lock the door?
Jag har inget med brottet att göra.	I have nothing to do with the crime.
Hon slog ihjäl honom med en golfklubba.	She beat him to death with a golf club.
Jag måste gå på min kusins dop.	I have to go to my cousin's baptism.
Tom sa att han ville vara här.	Tom said he wanted to be here.
Det är precis som jag förväntade mig.	It's exactly as I expected.
Jag var tvungen att säga upp mig.	I had to resign.
Ingenting är så enkelt som det verkar.	Nothing is as simple as it seems.
Inget är så enkelt som det verkar.	Nothing is as simple as it seems.
Jag kunde inte fortsätta ljuga för Tom.	I couldn't keep lying to Tom.
Behöver ni hjälp med att bära något?	Do you need help carrying anything?
Jag kommer inte att följa med dig.	I'm not going with you.
Jag fick dig att skratta, eller hur?	I made you laugh, didn't I?
Jag vill veta vad som är roligt.	I want to know what's funny.
Det här är Carrie Underwoods senaste album.	This is Carrie Underwood's latest album.
Han hörde illa och kunde inte gå.	He had difficulty in hearing and could not walk.
Tom och Mary verkar inte vara hungriga.	Tom and Mary don't seem to be hungry.
Ingen gjorde något annat än att dansa.	No one did anything but dance.
Jag hoppas verkligen att du har rätt.	I really hope you're right.
Jag minns allt du säger till mig.	I remember everything you tell me.
Ett mynt ramlade ut ur hans ficka.	A coin dropped out of his pocket.
Min far fick mig att tvätta bilen.	My father had me wash the car.
Det var omöjligt att hitta ett svar.	It was impossible to find an answer.
Jag skulle vilja skicka dessa till Japan.	I'd like to send these to Japan.
Det är inte blod. Det är tomatsås.	It's not blood. It's tomato sauce.
Jag begick ett allvarligt misstag på provet.	I made a serious mistake on the test.
Vad sägs om en promenad på stranden?	How about a walk on the beach?
Är detta en hingst eller ett sto?	Is this a stallion or a mare?
Är det moraliskt fel att äta kött?	Is eating meat morally wrong?
Varför har du inte klänning på dig?	Why don't you wear a dress?
Du måste inte komma hit varje dag.	You don't have to come here every day.
Hon var på humör för en promenad.	She was in the mood for a walk.
En del av uppsatserna är mycket intressanta.	Some of the essays are very interesting.
Det låter som om du är upptagen.	It sounds like you're busy.
Jag rådde honom att komma tillbaka omedelbart.	I advised him to come back at once.
Han visste inte vad han skulle göra.	He was at a loss to know what to do.
Det har kommit ett brev till dig.	There is a letter for you.
Jag går och lägger mig klockan tio.	I sleep at ten o'clock.
Jag hörde åskdundret, men såg inte blixten.	I heard the thunder, but did not see the lightning.
Jag har bra dagar och dåliga dagar.	I have good days and bad days.
Han är lika lång som min far.	He is as tall as my father.
Han gick ut en runda med hunden.	He went out for a walk with his dog.
Vi översatte rapporten från engelska till afrikaans.	We translated the report from English into Afrikaans.
Du då? Vill du också ha apelsinjuice?	What about you? Will you have orange juice, too?
Vi lärde oss ryska istället för franska.	We learned Russian instead of French.
Han bodde i Azerbajdzjan i 4 år.	He lived in Azerbaijan for 4 years.
Var snäll och kom och hjälp mig.	Please come and help me.
Han kommer aldrig att erkänna sin skuld.	He will never admit his fault.
Mina vänner svek mig inte under rättegången.	My friends stood by me during the court case.
Hördu, jag vill inte förlora mitt jobb.	Look, I don't want to lose my job.
Du blir tvungen att laga mer mat.	You'll have to cook more food.
President Grant har inte gjort något olaglig.	President Grant had done nothing illegal.
Kung George tog kontroll över kolonin 1752.	King George took control of the colony in 1752.
Den finansiella situationen förvärras vecka för vecka.	The financial situation is getting worse week by week.
Den här byggnaden ska byggas i staden.	This building will be built in the city.
Jag föddes och växte upp i landet.	I was born and raised in the country.
De allierade kontrollerade alla större irakiska städer.	The allies controlled all major Iraqi cities.
Jag sköt upp mitt hushållsarbete några timmar.	I postponed doing my housework for a few hours.
Vet du om han kommer till festen?	Do you know if he's coming to the party?
Jag gick upp för en timme sen.	I got up an hour ago.
Han begick många synder i sin ungdom.	He committed many sins in his youth.
Jag lät mina känslor fördunkla mitt omdöme.	I let my emotions cloud my judgment.
Den här motorn ger ibland upp andan.	This engine sometimes gives up the ghost.
Mary är nu en glad liten flicka.	Mary is now a happy little girl.
Vi genomförde vår utredning med största noggrannhet.	We conducted our investigation with the greatest care.
Tom och Mary var på Johns begravning.	Tom and Mary were at John's funeral.
Han har en stor restaurang nära sjön.	He has a big restaurant near the lake.
Jag växte upp i en fattig familj.	I grew up in a poor family.
Jag visade de hur man gör det.	I showed them how to do it.
Jag visade för de hur man gör.	I showed them how to do it.
Jag blev nästan påkörd av en bil.	I narrowly escaped being hit by a car.
Vi väntade på båten i många timmar.	We were waiting for the boat for many hours.
Emily vill arbeta i ett stort företag.	Emily wants to work in a major company.
Jag träffade henne på vägen till skolan.	I met her on the way to school.
Varför i helvete lever du såhär, Tom?	Why the fuck do you live like this, Tom?
De kallar den här planeten för ”jorden”.	"They call this planet ""Earth""."
Jag gör det om de betalar mig.	I'll do it if they pay me.
Hon kan vare sig läsa eller skriva.	She cannot write or read.
Det fanns inte ett moln på himlen.	No clouds were in the sky.
Upp med händerna! Detta är ett rån.	Hands up! This is a robbery.
Du får inte läsa, medan du äter.	You must not read while eating.
Jag måste åka till Danmark i morgon.	I have to go to Denmark tomorrow.
Det är där jag kommer att vara.	That's where I'll be.
Att förstå dig är verkligen riktigt svårt.	Understanding you is really very hard.
Detta är början på en ny era.	This is the beginning of a new era.
Vi är oroliga för mormor och morfar.	We're worried about Grandma and Grandpa.
Femte maj är dagen då Napoleon dog.	The fifth of May is the day when Napoleon died.
Jag undrar vad som kommer att hända.	I wonder what is going to happen.
Denna typ av arbete är mycket farlig.	This kind of work is very dangerous.
Hur många språk finns det i Europa?	How many languages are there in Europe?
Han är en fullkomlig främling för mig.	He is an utter stranger to me.
Kan Marika läsa och skriva på japanska?	Can Marika read and write Japanese?
Hans nya film är värd att se.	His new film is worth seeing.
Jag har en gås oplockad med dig.	I have a bone to pick with you.
Jag vet att du saknar din familj.	I know you miss your family.
Jag letar efter ett jobb i Boston.	I'm looking for a job in Boston.
Jag tror att du gillar ditt jobb.	I think you like your job.
Femtio familjer bor i denna lilla by.	Fifty families live in this tiny village.
Du kan komma in om du vill.	You can come in if you want.
Melanie tycker att situationen är mycket dålig.	Melanie thinks that the situation is very bad.
Melanie tror att det kommer att regna.	Melanie thinks that it's going to rain.
Jag såg honom med mina egna ögon.	I saw him with my own eyes.
Ingen av dessa bussar går till Shinjuku.	None of these buses go to Shinjuku.
Jag är glad att det var du.	I'm glad it was you.
Vi har varit i Tokyo många gånger.	We have been to Tokyo many times.
Om tiden bara kunde gå lite snabbare.	If only time could pass a little faster.
Om det bara kunde vara sommar snart.	If only it could be summer soon.
Han tror alltid att han har rätt.	He always thinks he's right.
Jag ser ingenting. Du står i vägen.	I can't see anything. You're standing in the way.
Jag förstod aldrig riktigt vad som hände.	I never really understood what happened.
Kan du visa mig en gång till?	Can you show me one more time?
Jag är inte beredd att dö än.	I'm not ready to die yet.
Den här staden är vacker året runt.	This town is pretty year-round.
Den här butiken har öppet dygnet runt.	This store here is open around the clock.
Kursen är uppdelad i fyra mindre delar.	The course is divided into four smaller units.
Han frågade om jag gillar kinesisk mat.	He asked if I like Chinese food.
Den här metoden är långsam men säker.	This method is slow but sure.
Det var en vacker dag i dag.	Today was a beautiful day.
Min pappa kommer att hjälpa mig finansiellt.	My father will support me financially.
En god konjak kompletterar en fin måltid.	A good brandy completes a fine meal.
Det blir aldrig som man tänkt sig.	Things never turn out the way you thought they would.
Maria tillbringade flera år med att undersöka Islands historia.	Maria spent several years investigating the history of Iceland.
Jag har inte hittat på det här.	I'm not making this up.
Det går inte att campa på månen.	You can't camp on the moon.
Det finns bara tre tjejer i klassen.	There are only three girls in the class.
Det börjar bli dags att gå hem.	It's about time I was going home.
Jag vill att du ska vara här.	I want you to be here.
Flickan som sjunger där är min syster.	The girl who sings there is my sister.
Det är inte nödvändigt att komma imorgon.	It's not necessary to come tomorrow.
Jag kommer att undersöka denna fråga mer.	I'll look into this issue more.
Nej, du kan inte använda min bil!	No, you can't use my car!
Vi är inte gudar, utan bara män.	We're not gods, but mere men.
Jag vet hur jag kan hantera Tom.	I know how to handle Tom.
Tom hoppas att se dig i oktober.	Tom hopes to see you in October.
Jag letar efter vilket arbete som helst.	I'm searching for any kind of work.
Pojkband var mycket populära vid den tiden.	Boy bands were very popular at that time.
Toms cykel blev stulen av en knarkare.	Tom's bike was stolen by a drug addict.
Pojkband var mycket populära på den tiden.	Boy bands were very popular at that time.
Det skulle kunna komma väl till pass.	That could come in handy.
Rökning är mycket dåligt för din hälsa.	Smoking is very bad for your health.
Skulle du kunna låna mig din cykel?	Could you lend me your bike?
Du kommer att ha en ny broder.	You will have a new brother.
Kan du hälsa Tom att Marie ringde?	Could you tell Tom that Marie called him?
Jag gör det, fast på ett villkor.	I will, but on one condition.
Han frågade mig om jag gillade matematik.	He asked me if I liked mathematics.
Han frågade mig om jag gillade matte.	He asked me if I like maths.
Jag vet inte vem min mor är.	I don't know who my mother is.
Mitt namn står inte med på listan.	My name isn't on the list.
Vad trodde du att jag skulle göra?	What did you think I was going to do?
Du har ett stort hål i strumpan.	There is a big hole in your stocking.
Jag hade en hamster som hette Cookie.	I had a hamster named Cookie.
Jag hade en hamster vid namn Cookie.	I had a hamster named Cookie.
Håller inte Tom på och äter frukost?	Isn't Tom having breakfast?
Håller inte Tom på att äta frukost?	Isn't Tom having breakfast?
Livet är hårt, men jag är hårdare.	Life is hard, but I am harder.
Är det i morgon vi ska träffas?	We're meeting up tomorrow?
Gillar du verkligen inte de där killarna?	Do you really not like those guys?
Skulle du vilja ha en till öl?	Would you like another beer?
Skulle ni vilja ha en till öl?	Would you like another beer?
Vet du varför vårrullar kallas för vårrullar?	Do you know why spring rolls are called spring rolls?
Mary köpte en blå slips till Tom.	Mary bought a blue tie for Tom.
Jag skulle kunna få henne att prata.	I could make her talk.
Jag har massvis med saker att göra.	I've got plenty to do.
Vi kan få ett slut på det.	We can end it.
De flesta tror att jag är galen.	Most people think I'm crazy.
Vem är det som är nummer ett?	Who's number one?
Julen föll på en lördag det året.	Christmas fell on Saturday that year.
Hur många julkort skrev du förra året?	How many Christmas cards did you write last year?
Säg till Tom att jag är sjuk.	Tell Tom I'm sick.
Det här är mycket viktigt för oss.	This is very important to us.
Jag hoppas att jag kan göra det.	I hope that I can do it.
Kan vi inte säga det till Tom?	Can't we tell Tom?
De bytte sin kamera mot en gitarr.	They exchanged their camera for a guitar.
Han bad mig att ställa mig upp.	He asked me to stand up.
Hur långt är det till nästa bensinstation?	How far is the next gas station?
Hur långt är det till nästa mack?	How far is the next gas station?
Ingen av eleverna var sen till skolan.	None of the students were late for school.
Jag ska flytta till Stockholm nästa vecka.	I'll move to Stockholm next week.
De lyfte från Arlanda tidigt på morgonen.	They took off from Arlanda early in the morning.
Hon talar aldrig illa om andra människor.	She never talks bad about other people.
Hon är lika lång som sin mor.	She is as tall as her mother.
Vi hade roligt på stranden i går.	We had a good time at the beach yesterday.
Jag kan gå i god för Tom.	I'll vouch for Tom.
Vi har kommit för att hjälpa till.	We've come to help.
Du kommer inte att tycka om Tom.	You won't like Tom.
Säg till Tom att jag är ledsen.	Tell Tom I'm sorry.
En evighet är en väldigt lång tid.	Eternity is a really long time.
Av ren nyfikenhet, vad skulle du göra?	Just out of curiosity, what would you do?
Det är kul att titta på tv.	It's fun to watch TV.
Vi åker om en vecka i dag.	We'll go a week from today.
Jag har varit i USA två gånger.	I have been to the U.S. twice.
Skulle du kunna ta det här, tack?	Could you take this, please?
Hans frånvaro i går berodde på förkylning.	His absence yesterday was due to his cold.
Hon förlängde sin vistelse med fem dagar.	She extended her stay by five days.
Tom skickade precis ett mejl till mig.	Tom just sent me an email.
Vad gjorde du i skolan i dag?	What did you do at school today?
Vad tyckte du om den där filmen?	How did you like that movie?
Vet du vilken färg hon tycker om?	Do you know what color she likes?
Vet du vad hon gillar för färg?	Do you know what color she likes?
Vi hade ett kort lov i februari.	We had a short vacation in February.
Tom sa att han inte äter kött.	Tom said he doesn't eat meat.
Han har förändrats mycket sedan förra gången.	He changed a lot since the last time.
Han förälskade sig i den vackra prinsessan.	He fell in love with a beautiful princess.
Det här är Toms idé, eller hur?	This is Tom's idea, isn't it?
Hur mycket av detta är Toms fel?	How much of this is Tom's fault?
Detta är en bild på Toms fru.	This is a picture of Tom's wife.
Detta är en bild på Toms familj.	This is a picture of Tom's family.
Jag är ledsen, men det är omöjligt.	I'm sorry, but it's impossible.
Såsen brände fast i botten av kastrullen.	The sauce got burnt and stuck to the bottom of the pan.
I stort sett håller jag med dig.	On the whole I agree with you.
Den hundrasen har en väldigt speciell teckning.	This dog breed has very special markings.
Sådana här saker händer bara i Sverige.	These things only happen in Sweden.
Vi hade en underbar semester i Sverige.	We had a wonderful holiday in Sweden.
Vi hade en fantastisk semester i Sverige.	We had a fantastic holiday in Sweden.
Englands drottning är släkt med Sveriges kung.	The Queen of England is related to the King of Sweden.
Jag visste att det inte var du.	I knew it wasn't you.
Jag visste att du skulle sakna mig.	I knew you'd miss me.
Är det okej om jag sitter här?	Is it OK if I sit here?
Går det bra att jag sitter här?	Is it OK if I sit here?
Jag vill åka till ett annat land.	I want to go to another country.
Jag skulle vilja ha ett glas vin.	I'd like a glass of wine.
Jag vill åka dit en gång till.	I want to go there once again.
Jag vill gå dit en gång till.	I want to go there once again.
Förr eller senare kommer vi att veta.	Someday, we'll know.
Rockkonserten ställdes in, för sångaren blev sjuk.	The rock concert was called off because the singer fell ill.
Hur länge har Tom varit din pojkvän?	How long has Tom been your boyfriend?
Du måste inte göra det där nu.	You don't have to do that now.
Du behöver inte göra det där nu.	You don't have to do that now.
Finns det mycket haj här i trakten?	Are there lots of sharks around here?
Enligt nyheterna blev han uppäten av hajar.	According to the news, he was eaten by sharks.
Min storebror lånade pengar av en kredithaj.	My older brother borrowed money from a loan shark.
Du sade att jag skulle bli bättre.	You said I'd get better.
Ni vet att jag älskar er båda.	You know I love you both.
Jag kan gå med på att dela.	I'm willing to share.
Jag är redo om du är det.	I'm ready if you are.
Jag är redo om ni är det.	I'm ready if you are.
Jag är öppen för vad som helst.	I'm open to anything.
Jag såg dig i tidningen i dag.	I saw you in the newspaper today.
Jag tänker inte gifta mig med dig.	I'm not marrying you.
Jag är glad att du märkte det.	I'm glad you noticed.
Jag är glad att det är över.	I'm glad that's over.
Jag är glad att jag hittade dig.	I'm glad I found you.
Du känner inte mig över huvud taget.	You don't know me at all.
Du har ingen anledning att vara rädd.	You have no reason to be afraid.
Du sa att det var för lätt.	You said it was too easy.
Vad för slags hund är det här?	What kind of dog is this?
Vad är det här för slags hund?	What kind of dog is this?
Jag går till skolan på tio minuter.	I can walk to school in 10 minutes.
Det är bäst att jag stannar hemma.	I'd better stay home.
Jag kommer att vara tillbaka till dess.	I'll be back by then.
Sov middag om du är trött.	Take a nap if you're tired.
Tom har inga vänner att leka med.	Tom has no friends to play with.
Han har inga vänner att leka med.	He doesn't have any friends to play with.
Han tyckte inte att det var roligt.	He didn't think it was funny.
Han tyckte inte att det var kul.	He didn't think it was funny.
